is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,is_repeated_guest,previous_cancellations,total_of_special_requests,avg_daily_rate,booked_by_company,booked_by_agent,customer_type_Contract,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
0,68,14,2,3,2,0,0,1,130.9,0,1,0,0,0,1
0,152,14,1,4,1,0,0,0,42.0,1,0,0,0,0,1
0,11,49,0,3,1,0,0,0,36.0,1,0,0,0,0,1
1,6,27,0,1,2,0,0,0,139.0,0,1,0,0,1,0
1,335,38,0,1,2,0,1,0,85.0,0,1,0,0,1,0
0,188,40,1,3,2,0,0,0,80.75,0,1,0,0,1,0
0,276,39,0,3,1,0,0,0,95.67,0,1,0,0,0,1
0,2,40,0,2,1,0,0,2,205.0,0,1,0,0,1,0
1,279,21,0,3,3,0,0,2,153.9,0,1,0,0,1,0
0,49,42,0,1,2,0,0,0,126.0,0,1,0,0,1,0
0,5,8,2,1,1,0,0,0,45.0,0,0,0,0,1,0
1,259,28,2,5,2,0,0,0,99.0,0,1,0,0,1,0
1,31,28,2,1,3,0,0,0,168.3,0,1,0,0,1,0
0,316,22,0,3,2,0,0,0,110.0,0,1,0,0,0,1
0,41,17,0,1,1,0,0,0,110.0,1,0,0,0,0,1
0,0,23,0,2,2,0,0,1,136.0,0,1,0,0,1,0
0,61,15,2,2,2,0,0,4,85.5,0,1,1,0,0,0
1,11,33,2,6,2,0,0,0,139.0,0,1,0,0,1,0
1,93,10,0,4,2,0,0,1,91.8,0,1,0,0,1,0
1,115,11,1,2,2,0,0,1,97.33,0,1,0,0,1,0
0,150,25,0,3,2,0,0,1,90.0,0,1,0,0,0,1
0,1,4,0,3,1,0,0,1,31.45,0,1,0,0,1,0
0,1,7,1,3,2,0,0,2,157.0,0,0,0,0,1,0
0,212,23,0,2,2,0,0,1,99.0,0,1,0,0,1,0
0,2,53,0,2,1,1,0,3,75.0,0,1,0,0,0,1
0,4,2,0,4,2,0,0,0,89.0,0,1,0,0,1,0
0,14,38,0,1,1,0,0,0,209.0,0,1,0,0,1,0
1,31,40,0,1,2,0,0,1,111.6,0,1,0,1,0,0
0,0,42,0,1,2,0,0,0,56.0,0,1,0,0,1,0
0,97,18,2,5,2,0,0,1,109.81,0,1,0,0,0,1
1,244,36,0,3,2,0,19,0,36.0,0,0,0,0,1,0
0,36,47,0,2,2,0,0,0,64.0,0,1,0,0,0,1
0,69,44,2,1,2,0,0,0,85.67,0,1,0,0,0,1
0,85,40,0,3,2,0,0,0,125.0,0,1,0,0,0,1
0,0,34,2,1,2,0,0,1,124.0,0,1,0,0,0,1
1,173,23,2,2,2,0,0,0,120.0,0,1,0,0,1,0
1,103,13,1,1,2,0,0,0,65.0,0,1,0,0,1,0
1,240,36,2,2,2,0,0,1,95.63,0,1,0,0,1,0
0,74,38,0,2,1,0,0,0,87.0,0,1,0,0,0,1
0,8,10,0,2,1,0,0,0,56.0,0,1,0,0,1,0
1,393,41,2,2,2,0,0,0,72.0,0,1,0,0,1,0
0,84,15,2,1,3,0,0,1,119.82,0,1,0,0,1,0
0,67,21,1,3,2,0,0,0,109.65,0,1,0,0,1,0
0,69,37,0,2,2,0,0,0,62.0,0,1,0,0,0,1
1,189,18,1,2,2,0,0,0,100.0,0,1,0,0,0,1
0,12,31,1,0,2,0,0,0,139.0,0,1,0,0,1,0
0,56,30,0,2,2,0,0,2,177.3,0,1,0,0,1,0
0,57,10,0,2,3,0,0,1,103.0,0,0,0,0,0,1
0,122,19,1,4,2,0,0,1,99.45,0,1,0,0,1,0
0,37,49,0,1,3,0,0,2,0.0,0,0,0,0,1,0
0,2,4,0,1,2,0,0,0,48.0,0,1,0,0,1,0
0,130,29,2,5,2,0,0,1,252.3,0,1,0,0,1,0
0,25,20,2,2,2,0,0,0,128.0,0,1,0,0,1,0
1,386,31,0,2,2,0,0,0,62.0,0,1,0,0,1,0
0,148,37,0,2,2,0,0,1,93.5,0,1,0,0,0,1
0,17,9,2,0,1,0,0,0,75.0,0,1,0,0,0,1
0,42,53,0,3,2,0,0,0,198.33,0,0,0,0,1,0
0,8,41,1,3,2,0,0,0,56.0,1,0,0,0,0,1
1,140,7,0,2,2,0,0,0,50.0,0,0,0,0,1,0
0,73,48,0,3,1,0,0,0,67.83,0,1,0,0,0,1
1,9,21,1,0,2,0,0,0,70.0,0,1,0,0,0,1
0,385,43,1,4,2,0,0,0,49.0,0,0,0,0,0,1
1,236,20,1,3,2,0,0,0,48.0,0,1,0,0,0,1
1,128,49,0,1,2,0,0,0,64.0,0,0,0,0,0,1
0,48,40,1,2,2,0,0,0,73.51,0,1,0,0,1,0
1,140,7,0,2,2,0,0,0,50.0,0,0,0,0,1,0
0,181,20,2,5,2,0,0,1,52.85,0,1,1,0,0,0
0,18,47,1,4,2,0,0,2,74.8,0,1,0,0,1,0
1,30,39,2,2,2,0,0,0,195.53,0,1,0,0,1,0
0,203,15,0,3,2,0,0,2,133.2,0,1,0,0,1,0
0,106,42,2,6,2,0,0,1,64.5,0,1,0,0,1,0
0,106,18,1,3,2,0,0,1,97.02,0,1,0,0,1,0
0,149,29,2,2,3,0,0,0,169.65,0,1,0,0,1,0
1,185,30,1,1,2,0,0,1,94.5,0,1,0,0,1,0
0,16,39,2,5,2,0,0,2,131.43,0,1,0,0,1,0
0,154,36,1,5,2,0,0,3,161.5,0,1,0,0,1,0
0,262,45,0,2,3,0,0,2,146.7,0,1,0,0,1,0
1,111,35,0,2,2,0,0,0,262.7,0,1,0,0,1,0
1,123,33,2,2,2,0,0,0,260.0,0,1,0,0,1,0
0,17,44,1,1,2,0,0,3,149.0,0,1,0,0,1,0
0,116,12,0,2,1,0,0,0,90.0,0,1,0,0,0,1
0,318,30,0,2,2,0,0,1,134.0,0,1,0,0,0,1
0,27,29,1,3,3,0,0,0,224.0,0,1,0,0,1,0
0,165,22,3,7,2,0,0,1,86.7,0,1,1,0,0,0
0,40,38,0,5,1,0,0,0,108.0,0,1,0,0,0,1
0,25,6,2,3,2,0,0,2,91.8,0,1,0,0,1,0
1,97,27,0,1,2,0,0,0,140.0,0,1,0,0,1,0
0,141,48,0,2,2,0,0,0,90.0,0,1,0,0,1,0
0,160,39,2,5,2,0,0,0,77.93,0,1,0,0,0,1
1,71,39,0,3,2,0,0,0,127.0,0,1,0,0,0,1
0,2,51,0,2,2,0,0,1,63.0,0,1,0,0,1,0
1,368,26,0,3,2,0,0,0,90.0,0,1,0,0,1,0
0,11,8,0,1,2,0,0,0,107.0,0,1,0,0,1,0
0,60,14,1,2,2,0,0,1,106.2,0,1,0,0,1,0
0,99,21,2,5,2,0,0,0,52.56,0,1,0,0,1,0
0,46,11,0,1,1,0,0,0,25.0,0,1,0,0,0,1
0,100,40,0,4,2,0,0,1,140.0,0,1,0,0,0,1
0,39,50,2,8,3,0,0,2,130.9,0,1,0,0,1,0
0,243,39,2,2,1,0,0,0,80.7,0,1,0,0,0,1
0,91,15,2,4,2,0,0,1,83.87,0,1,0,0,1,0
0,159,43,2,2,2,0,0,0,108.0,0,1,0,0,1,0
0,5,5,1,0,1,0,0,0,107.0,0,1,0,0,1,0
1,124,14,1,1,2,0,0,1,99.0,0,1,0,0,1,0
1,140,33,1,3,2,0,0,3,175.0,0,1,0,0,1,0
0,0,10,0,1,2,1,0,3,43.0,0,1,0,0,1,0
1,40,24,2,1,1,0,0,0,95.0,0,1,0,0,1,0
0,0,33,1,1,2,0,0,0,75.0,0,0,0,0,1,0
0,216,8,0,2,2,0,0,2,65.83,0,1,0,0,1,0
0,233,36,1,1,1,0,0,0,73.0,0,1,0,0,0,1
1,350,25,0,2,1,0,0,0,130.0,0,1,0,0,1,0
1,54,49,0,1,1,0,1,0,81.0,0,0,0,0,0,1
0,140,25,0,4,2,0,0,0,80.75,0,1,0,0,1,0
0,2,47,0,2,2,0,0,2,73.8,0,0,0,0,1,0
0,287,42,2,6,2,0,0,0,44.5,1,0,0,0,0,1
0,218,25,0,2,2,0,0,2,194.0,0,1,0,0,1,0
1,407,18,2,1,2,0,0,0,90.0,0,1,0,0,1,0
1,60,13,2,5,2,0,0,1,70.11,0,1,0,0,1,0
1,23,33,1,2,2,0,0,1,219.0,0,1,0,0,1,0
0,212,13,2,1,2,0,0,0,88.2,0,1,0,0,0,1
1,118,34,2,1,2,0,0,1,270.0,0,1,0,0,1,0
0,0,20,0,1,1,0,0,0,90.71,0,1,0,0,1,0
1,90,20,2,3,2,0,0,0,138.6,0,1,0,0,1,0
0,18,29,1,1,2,0,0,0,75.0,0,1,0,0,0,1
1,105,53,1,4,2,0,0,0,106.92,0,1,0,0,1,0
0,124,26,0,4,2,0,0,0,118.2,0,1,0,0,1,0
0,184,28,3,7,2,0,0,1,165.8,0,1,0,0,1,0
0,8,40,0,1,1,0,0,0,99.0,1,0,0,0,0,1
1,143,18,0,3,2,0,0,0,100.0,0,1,0,0,1,0
1,245,25,0,2,2,0,0,0,75.0,0,1,0,0,1,0
1,177,27,1,1,2,0,0,0,89.1,0,1,0,0,1,0
0,0,8,0,1,2,0,0,1,118.0,0,1,0,0,1,0
0,45,5,1,2,2,0,0,0,58.8,0,1,1,0,0,0
0,0,51,0,1,1,0,0,0,38.0,0,0,0,0,1,0
1,275,41,1,4,2,0,0,0,90.0,0,1,0,0,1,0
0,30,38,0,2,1,0,0,2,85.5,0,1,0,0,1,0
0,2,5,0,1,1,0,0,0,41.0,1,0,0,0,1,0
1,101,16,0,3,2,0,0,0,130.0,0,0,0,0,1,0
1,180,16,0,1,2,0,1,0,125.0,0,1,0,0,1,0
0,37,13,0,2,2,0,0,0,126.45,0,1,0,0,0,1
0,143,30,1,5,2,0,0,0,156.0,0,1,0,0,1,0
1,56,5,0,3,2,0,0,0,60.0,0,1,0,0,1,0
1,468,30,2,1,2,0,0,0,112.67,0,1,0,0,0,1
0,101,4,0,2,2,0,0,0,66.98,0,1,0,0,1,0
0,50,35,0,4,2,0,0,0,62.0,0,1,0,0,0,1
1,601,9,0,2,2,0,0,0,62.0,0,1,0,0,1,0
0,335,42,0,3,1,0,0,0,80.0,0,1,0,0,0,1
0,38,8,0,4,2,0,0,2,100.3,0,1,0,0,1,0
1,125,30,0,2,2,0,0,0,72.25,0,1,0,0,0,1
0,21,37,0,4,3,0,0,0,345.0,0,1,0,0,1,0
0,39,15,0,3,2,0,0,2,129.0,0,1,0,0,1,0
1,166,45,0,3,1,0,0,0,110.0,0,1,0,0,1,0
0,207,32,4,6,2,0,0,1,78.61,0,1,0,0,1,0
0,49,22,1,2,2,0,0,1,150.0,0,1,0,0,1,0
0,377,42,0,2,2,0,0,1,115.0,0,1,0,0,0,1
0,206,31,1,3,2,0,0,0,58.14,0,1,0,0,1,0
1,35,7,0,3,2,0,0,0,88.0,0,1,0,0,1,0
0,25,22,2,1,2,0,0,2,109.0,0,1,0,0,1,0
0,59,6,2,2,1,0,0,0,51.0,0,1,0,0,0,1
0,30,12,0,4,2,0,0,1,74.0,0,1,0,0,1,0
0,190,24,2,8,2,0,0,0,83.79,0,1,0,0,1,0
1,66,15,2,0,2,0,0,0,100.0,0,0,0,0,1,0
0,189,21,0,3,2,0,0,1,65.0,0,1,0,0,0,1
1,146,17,0,1,2,0,0,1,130.5,0,1,0,0,1,0
1,17,17,0,2,2,0,0,1,96.0,0,1,0,0,1,0
0,5,23,0,2,2,0,0,0,119.0,0,1,0,0,1,0
0,4,8,1,0,1,0,0,0,38.7,0,1,0,0,1,0
0,57,19,0,4,2,0,0,0,135.0,0,1,0,0,1,0
1,47,16,0,1,1,0,0,0,99.9,0,1,0,0,1,0
1,32,8,1,1,1,0,0,0,75.0,0,0,0,0,1,0
1,164,20,1,2,1,0,0,0,160.0,0,0,0,0,1,0
0,0,5,0,1,1,0,0,0,40.0,0,1,0,0,1,0
0,69,44,1,3,2,0,0,1,79.2,0,1,0,0,0,1
0,41,15,0,3,2,0,0,2,152.0,0,1,0,0,1,0
0,48,43,1,1,3,0,0,1,158.0,0,1,0,0,1,0
1,234,15,1,2,2,0,0,1,99.0,0,1,0,0,1,0
0,23,31,2,0,2,0,0,1,120.0,0,0,0,0,1,0
1,49,10,2,2,1,0,0,0,66.0,0,0,0,0,0,1
1,270,17,0,4,2,0,0,0,62.8,0,1,0,0,0,1
0,47,35,1,5,3,0,0,0,163.95,0,1,0,0,1,0
1,69,14,0,3,1,0,0,0,85.0,1,0,0,0,1,0
1,105,27,1,1,2,0,0,0,105.3,0,1,0,0,1,0
0,44,46,2,1,2,0,0,0,60.0,0,1,0,0,1,0
0,23,21,0,2,2,0,0,0,93.0,0,1,0,0,1,0
1,16,45,0,2,1,0,1,0,95.0,1,0,0,0,1,0
0,61,34,0,4,2,0,0,0,168.25,0,1,0,0,1,0
0,82,13,2,3,2,0,0,1,67.15,0,1,0,0,1,0
0,118,21,1,0,2,0,0,0,62.0,0,1,0,0,0,1
0,87,44,2,1,2,0,0,1,106.25,0,1,0,0,1,0
1,44,40,2,2,2,0,0,2,149.4,0,1,0,0,1,0
1,221,40,0,3,1,0,0,2,115.5,0,1,0,0,0,1
1,211,21,0,2,2,0,0,0,100.0,0,1,0,0,1,0
0,0,2,0,1,1,1,0,0,66.0,1,0,0,0,1,0
0,19,27,0,1,1,0,0,0,65.0,0,1,0,0,1,0
1,129,2,2,3,2,0,0,0,47.8,0,1,0,0,1,0
0,12,45,2,1,2,0,0,0,114.0,0,1,0,0,1,0
1,100,22,1,4,2,0,0,0,109.4,0,1,0,0,1,0
1,255,46,2,5,0,0,0,0,72.0,0,1,0,0,0,1
1,71,8,0,3,2,0,0,0,78.3,0,1,0,0,1,0
1,134,49,2,2,2,0,0,0,65.0,0,1,0,0,1,0
0,10,34,0,2,2,0,0,0,153.0,0,1,0,0,1,0
0,165,28,2,2,2,0,0,1,99.45,0,1,0,0,1,0
0,43,25,0,3,2,0,0,1,126.67,0,1,0,0,1,0
1,67,44,1,1,2,0,0,3,76.5,0,1,0,0,1,0
1,214,34,0,3,1,0,0,0,90.9,0,1,0,0,1,0
1,134,24,0,4,3,0,0,0,175.5,0,1,0,0,1,0
1,18,12,1,3,2,0,0,0,100.3,0,1,0,0,1,0
0,1,15,0,1,1,1,0,0,67.0,1,0,0,0,1,0
1,45,25,2,5,2,0,0,0,93.0,0,1,0,0,1,0
0,144,27,2,0,2,0,0,1,85.5,0,1,0,0,0,1
0,8,9,1,2,3,0,0,1,130.0,0,1,0,0,1,0
0,210,31,2,4,2,0,0,1,90.95,0,1,1,0,0,0
1,608,10,0,2,2,0,0,0,62.0,0,1,0,0,1,0
0,72,44,0,3,2,0,0,0,85.67,0,1,0,0,0,1
0,0,16,0,2,2,0,0,1,89.0,0,1,0,0,1,0
1,218,33,0,2,2,0,0,3,130.5,0,1,0,0,1,0
1,372,29,0,2,2,0,0,0,62.0,0,1,0,0,1,0
1,9,13,2,4,2,0,0,0,224.0,0,1,0,0,1,0
1,293,32,0,2,2,0,1,0,62.0,0,1,1,0,0,0
0,65,47,2,2,2,0,0,0,63.58,0,1,0,0,1,0
1,405,34,0,2,2,0,0,0,62.0,0,1,0,0,1,0
0,233,22,0,4,2,0,0,1,95.4,0,1,0,0,1,0
0,45,16,1,2,2,0,0,2,177.3,0,1,0,0,1,0
0,0,28,1,0,2,0,0,1,140.0,0,1,0,0,1,0
0,102,18,2,2,2,0,0,1,135.0,0,1,0,0,1,0
1,303,19,0,1,2,0,0,2,67.5,0,1,0,0,1,0
0,60,8,0,4,2,0,0,0,48.0,0,1,0,0,0,1
1,2,41,0,1,2,0,1,0,152.0,0,0,0,0,1,0
1,157,41,1,2,2,0,0,0,108.0,0,1,0,0,1,0
0,59,16,2,5,2,0,0,0,113.41,0,1,0,0,1,0
0,6,41,1,0,2,0,0,2,126.0,0,1,1,0,0,0
0,22,29,2,3,2,0,0,3,219.0,0,1,0,0,0,1
0,12,34,0,1,2,0,0,0,81.0,0,1,0,0,1,0
1,238,37,0,3,1,0,0,0,89.0,0,1,0,0,1,0
0,1,33,1,0,2,0,0,0,98.0,0,1,0,0,1,0
1,105,15,0,1,2,0,0,0,75.0,0,1,0,0,1,0
0,1,22,0,1,1,0,0,0,66.5,0,1,0,0,1,0
1,358,41,1,1,2,0,1,0,62.0,0,1,0,0,1,0
0,9,20,2,5,3,0,0,1,212.8,0,1,0,0,1,0
1,26,24,0,1,2,0,0,0,120.0,0,1,0,0,0,1
1,229,28,1,4,2,0,0,0,110.0,0,0,0,0,1,0
1,183,19,1,3,2,0,0,0,130.0,0,1,0,0,1,0
0,343,39,0,4,2,0,0,0,92.0,0,1,0,0,0,1
0,90,15,1,3,2,0,0,1,82.45,0,1,0,0,1,0
0,89,1,2,3,3,0,0,0,99.0,0,1,0,0,1,0
0,82,17,2,4,2,0,0,1,123.0,0,1,0,0,1,0
1,250,40,1,3,2,0,0,0,95.0,0,1,0,0,1,0
1,31,32,0,2,2,0,0,1,152.1,0,1,0,0,1,0
0,46,16,0,2,3,0,0,2,198.0,0,1,0,0,1,0
0,161,34,3,9,2,0,0,1,158.6,0,1,0,0,1,0
0,1,22,0,1,1,0,0,0,114.0,0,0,0,0,1,0
0,6,5,0,1,1,0,0,0,40.0,0,0,0,0,1,0
0,5,3,0,3,1,0,0,1,90.27,0,1,0,0,1,0
0,0,28,0,1,1,0,0,1,135.0,0,1,0,0,1,0
1,84,19,0,2,3,0,0,0,189.0,0,1,0,0,1,0
0,28,47,0,3,3,0,0,1,51.6,0,1,0,0,1,0
1,51,50,0,3,2,0,0,2,109.8,0,1,0,0,1,0
0,14,38,1,0,2,1,0,1,0.0,0,1,0,0,1,0
0,88,41,1,1,2,0,0,0,112.2,0,1,0,0,0,1
1,77,40,1,3,2,0,0,1,55.44,0,1,0,0,1,0
0,21,13,0,3,2,0,0,0,85.0,0,0,0,0,1,0
0,17,5,0,2,2,0,0,0,30.0,0,1,0,0,1,0
1,73,27,0,1,2,0,0,2,73.8,0,1,0,0,1,0
0,78,38,2,2,2,0,0,0,92.1,0,1,0,0,1,0
1,270,32,1,4,2,0,0,1,232.0,0,1,0,0,1,0
0,83,42,1,3,1,0,0,0,152.78,0,1,0,0,1,0
0,161,20,1,3,2,0,0,0,72.07,0,1,0,0,1,0
1,79,51,0,3,2,0,0,2,109.8,0,1,0,0,1,0
0,35,49,1,1,1,0,0,0,65.0,0,0,0,0,0,1
0,74,31,1,1,3,0,0,1,144.45,0,1,0,0,1,0
0,0,21,0,0,1,1,0,0,0.0,0,1,0,0,1,0
0,238,21,2,2,2,0,0,1,81.0,0,1,0,0,1,0
0,202,39,2,5,2,0,0,1,115.3,0,1,0,0,1,0
0,183,16,1,1,2,0,0,0,85.0,0,1,0,0,0,1
0,105,32,1,1,3,0,0,0,225.0,0,1,0,0,1,0
1,47,27,1,3,3,0,0,1,204.5,0,1,0,0,1,0
0,88,41,1,1,2,0,0,0,112.2,0,1,0,0,0,1
1,87,39,2,3,2,0,0,0,170.0,0,1,0,0,1,0
1,64,47,0,2,1,0,0,1,86.4,0,1,0,0,1,0
1,98,48,1,2,1,0,0,0,84.0,0,1,0,0,0,1
0,0,10,0,2,1,0,0,0,116.0,0,1,0,0,0,1
0,1,35,0,1,2,0,0,0,0.0,1,0,0,0,1,0
1,19,5,1,1,2,0,0,1,88.0,0,1,0,0,1,0
0,9,35,2,4,2,0,0,2,90.0,0,1,1,0,0,0
0,75,4,2,3,3,0,0,1,138.6,0,1,0,0,1,0
0,96,50,2,2,2,0,0,1,57.6,0,1,0,0,1,0
0,33,4,2,3,1,0,0,0,74.38,0,1,0,0,1,0
0,17,46,2,2,2,0,0,0,142.54,0,1,0,0,1,0
0,28,2,1,4,2,0,0,1,97.92,0,1,0,0,1,0
0,0,20,1,0,3,0,0,0,149.0,0,1,0,0,1,0
1,92,11,0,3,2,0,0,0,85.0,0,0,0,0,1,0
0,79,25,0,2,2,0,0,0,80.75,0,1,0,0,1,0
0,98,26,1,1,2,0,0,0,117.0,0,1,0,0,1,0
1,391,31,0,2,2,0,0,0,65.0,0,1,0,0,1,0
0,197,33,2,5,2,0,0,1,160.0,0,1,0,0,1,0
0,37,8,1,5,2,0,0,1,79.8,0,1,0,0,1,0
0,21,2,0,4,2,0,0,3,82.88,0,1,0,0,1,0
0,7,42,1,0,1,0,0,0,80.0,1,0,0,0,1,0
1,25,50,0,2,1,0,1,0,90.0,0,1,0,0,1,0
1,100,47,0,3,2,0,0,2,79.2,0,1,0,0,1,0
1,37,23,2,2,2,0,0,1,228.0,0,1,0,0,1,0
1,275,17,2,0,2,0,0,0,110.0,0,1,0,0,1,0
1,164,33,0,1,2,0,1,0,60.0,0,1,0,0,1,0
0,93,38,0,3,2,0,0,1,89.0,0,1,0,0,1,0
0,109,10,1,2,2,0,0,1,97.2,0,1,0,0,1,0
1,6,34,2,1,3,0,0,1,230.0,0,1,0,0,1,0
1,178,35,0,2,2,0,0,0,117.6,0,1,0,0,1,0
0,0,20,0,1,2,0,0,0,221.0,0,1,0,0,1,0
0,16,42,2,0,2,0,0,1,61.0,0,0,0,0,1,0
0,125,31,1,0,2,0,0,0,130.5,0,1,0,0,1,0
1,55,17,2,2,2,0,0,0,162.0,0,1,0,0,1,0
1,150,29,2,8,2,0,0,1,101.15,0,1,0,0,1,0
0,110,6,2,5,2,0,0,0,66.0,0,1,0,0,1,0
0,158,29,2,2,2,0,0,0,118.0,0,1,0,0,1,0
0,131,33,2,1,2,0,0,0,94.5,0,1,0,0,0,1
1,164,33,1,3,2,0,0,0,148.5,0,1,0,0,1,0
0,26,36,1,1,1,0,0,2,95.0,0,1,1,0,0,0
0,386,44,2,0,2,0,0,1,115.0,0,1,0,0,0,1
0,45,33,2,2,2,0,0,0,109.44,0,1,0,0,1,0
1,53,9,0,3,2,0,0,0,106.2,0,1,0,0,1,0
1,149,24,0,3,2,0,0,0,129.0,0,1,0,0,1,0
0,60,28,1,1,1,0,0,0,115.2,0,1,0,0,1,0
1,348,22,2,1,2,0,0,0,90.0,0,1,0,0,1,0
0,53,35,1,1,1,0,0,0,60.0,0,1,0,0,0,1
0,28,32,1,3,2,0,0,0,62.0,0,1,0,0,0,1
1,10,28,0,2,2,0,0,1,199.0,0,1,0,0,1,0
1,52,50,0,3,2,0,0,2,79.2,0,1,0,0,1,0
0,118,24,1,2,1,0,0,0,110.0,0,1,0,0,0,1
0,101,25,0,3,2,0,0,0,120.0,0,1,0,0,1,0
1,201,32,1,3,2,0,0,1,172.8,0,1,0,0,1,0
0,9,16,1,4,2,0,0,1,174.4,0,1,0,0,1,0
0,30,33,2,1,2,0,0,1,154.8,1,0,0,0,1,0
0,200,30,2,2,2,0,0,1,188.0,0,1,0,0,1,0
1,192,20,0,3,2,0,1,0,135.0,0,1,0,0,1,0
0,98,48,1,2,1,0,0,0,70.0,0,1,0,0,0,1
0,2,10,2,5,1,0,0,0,60.0,1,0,0,0,1,0
1,475,44,0,2,2,0,0,0,62.0,0,1,0,0,1,0
0,11,21,0,2,2,0,0,1,160.0,0,1,0,0,1,0
1,68,20,2,1,1,0,0,0,110.0,1,0,0,0,0,1
0,35,49,1,1,1,0,0,0,65.0,0,1,0,0,0,1
1,77,9,0,2,2,0,0,0,64.0,0,1,0,0,1,0
0,19,26,1,1,1,1,0,0,95.0,1,0,0,0,1,0
0,118,22,1,5,2,0,0,2,145.67,0,1,0,0,1,0
0,73,36,2,7,2,0,0,0,153.0,0,1,0,0,1,0
1,32,13,0,1,2,0,0,2,115.2,0,1,0,0,1,0
1,49,27,0,2,2,0,0,0,107.1,0,1,0,0,1,0
1,41,53,2,5,2,0,0,0,69.29,0,0,0,0,0,1
0,146,43,2,5,1,0,0,2,48.43,0,1,0,0,1,0
1,40,23,1,4,2,0,0,2,196.0,0,1,0,0,1,0
0,159,43,0,1,2,0,0,1,101.0,0,1,0,0,1,0
1,12,29,2,2,2,0,0,0,62.0,0,1,0,0,0,1
1,411,22,2,4,2,0,0,0,71.1,0,0,0,0,1,0
0,100,32,1,3,3,0,0,0,225.0,0,1,0,0,1,0
0,3,21,0,2,1,1,0,0,53.0,1,0,0,0,1,0
1,113,29,2,5,2,0,0,0,160.0,0,1,0,0,1,0
1,75,12,1,3,2,0,0,0,80.0,0,1,0,0,1,0
0,12,36,1,0,2,0,0,0,79.0,0,1,0,0,1,0
1,98,21,0,2,3,0,0,0,168.3,0,1,0,0,1,0
0,156,44,2,9,2,0,0,1,104.32,0,1,0,0,1,0
0,103,37,0,3,3,0,0,1,159.84,0,1,0,0,1,0
1,320,34,0,2,2,0,0,1,115.0,0,1,0,0,0,1
1,272,32,0,1,2,0,1,0,65.0,0,1,0,0,1,0
0,31,7,0,3,2,0,0,2,68.0,0,1,0,0,0,1
1,106,45,1,2,2,0,0,2,90.0,0,1,0,0,1,0
1,106,18,0,3,2,0,0,0,126.0,0,1,0,0,1,0
1,278,16,2,2,2,0,0,0,81.0,0,1,0,0,1,0
1,2,47,0,2,1,0,0,1,103.0,0,1,0,0,1,0
0,268,23,2,5,2,0,0,0,70.4,0,1,0,0,1,0
0,4,39,0,2,2,0,0,0,148.0,0,1,0,0,1,0
